timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 18:06:02.548, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.98 W, 39
2026/09/23 18:06:07.564, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.21 W, 38
2026/09/23 18:06:12.569, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.21 W, 38
2026/09/23 18:06:17.582, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.20 W, 38
2026/09/23 18:06:22.592, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 66.43 W, 39
2026/09/23 18:06:27.600, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.12 W, 37
2026/09/23 18:06:32.610, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.13 W, 37
2026/09/23 18:06:37.624, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.18 W, 37
2026/09/23 18:06:42.626, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.00 W, 37
2026/09/23 18:06:47.634, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.17 W, 36
2026/09/23 18:06:52.641, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.50 W, 36
2026/09/23 18:06:57.645, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.95 W, 36
2026/09/23 18:07:02.658, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.97 W, 36
2026/09/23 18:07:07.671, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.36 W, 35
2026/09/23 18:07:12.687, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.00 W, 35
2026/09/23 18:07:17.693, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.91 W, 35
2026/09/23 18:07:22.696, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.15 W, 35
2026/09/23 18:07:27.705, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.06 W, 35
2026/09/23 18:07:32.721, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.86 W, 35
2026/09/23 18:07:37.737, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.03 W, 34
2026/09/23 18:07:42.740, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.13 W, 34
2026/09/23 18:07:47.745, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.13 W, 34
2026/09/23 18:07:52.755, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.30 W, 34
2026/09/23 18:07:57.762, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.28 W, 34
2026/09/23 18:08:02.772, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.21 W, 34
2026/09/23 18:08:07.785, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 18.19 W, 34
2026/09/23 18:08:12.790, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 17.85 W, 33
2026/09/23 18:08:17.801, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.22 W, 34
