timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:19:46.681, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 25.99 W, 30
2026/09/23 21:19:51.691, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.11 W, 29
2026/09/23 21:19:56.695, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.00 W, 29
2026/09/23 21:20:01.699, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.86 W, 29
2026/09/23 21:20:06.704, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.96 W, 29
2026/09/23 21:20:11.718, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.05 W, 29
2026/09/23 21:20:16.730, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.14 W, 29
2026/09/23 21:20:21.743, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.30 W, 29
2026/09/23 21:20:26.759, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.98 W, 29
2026/09/23 21:20:31.771, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.90 W, 29
2026/09/23 21:20:36.786, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.17 W, 29
2026/09/23 21:20:41.788, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.99 W, 29
2026/09/23 21:20:46.803, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.22 W, 29
2026/09/23 21:20:51.815, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.25 W, 29
2026/09/23 21:20:56.830, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.87 W, 29
2026/09/23 21:21:01.835, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.97 W, 29
2026/09/23 21:21:06.843, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.18 W, 29
2026/09/23 21:21:11.856, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.03 W, 29
2026/09/23 21:21:16.861, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.20 W, 29
2026/09/23 21:21:21.863, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.27 W, 29
2026/09/23 21:21:26.876, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.85 W, 29
2026/09/23 21:21:31.888, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.07 W, 29
2026/09/23 21:21:36.897, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.02 W, 29
2026/09/23 21:21:41.904, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.78 W, 29
2026/09/23 21:21:46.911, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.37 W, 29
2026/09/23 21:21:51.925, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.20 W, 29
2026/09/23 21:21:56.933, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.70 W, 29
2026/09/23 21:22:01.939, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.97 W, 29
2026/09/23 21:22:06.942, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.05 W, 29
2026/09/23 21:22:11.944, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.06 W, 29
2026/09/23 21:22:16.958, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.25 W, 29
2026/09/23 21:22:21.962, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.98 W, 29
2026/09/23 21:22:26.970, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.87 W, 29
